序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300344,立方数科,6.58,20.07,1.1,819575.0,521424684.18,16.61,6.58,5.67,5.7,5.48,5.01,12.82,-55.58,9.0,4222428217.0,4206010953.0,0.0,0.0,15.85,53.38
2,300313,*ST天山,6.89,20.03,1.15,58324.0,39622526.0,8.54,6.89,6.4,6.78,5.74,2.73,3.17,-82.07,30.32,2156414258.0,1269285977.0,0.0,0.0,39.47,11.85
3,300339,润和软件,27.71,20.01,4.62,2342217.0,6184150282.29,20.61,27.71,22.95,23.08,23.09,3.34,30.28,138.5,6.71,22068544404.0,21433283676.0,0.0,0.0,17.47,49.22
4,301205,联特科技,98.64,20.0,16.44,80033.0,741167093.85,19.17,98.64,82.88,83.2,82.2,1.03,11.78,218.19,8.98,12797948160.0,6703404739.0,0.0,0.0,-43.1,371.06
5,300351,永贵电器,19.38,20.0,3.23,469473.0,909072197.64,2.66,19.38,18.95,19.38,16.15,3.26,18.18,54.04,3.23,7467343789.0,5003751309.0,0.0,0.0,22.35,25.27
6,300826,测绘股份,21.61,19.99,3.6,188891.0,382284531.61,19.04,21.61,18.18,18.63,18.01,1.72,13.59,130.89,2.96,3147171831.0,3004204437.0,0.0,0.0,39.24,95.57
7,300097,智云股份,10.69,19.98,1.78,805797.0,834672521.09,20.09,10.69,8.9,9.0,8.91,1.92,29.84,10.29,4.68,3084595962.0,2886502554.0,0.0,0.0,64.71,102.85
8,688800,瑞可达,46.9,17.34,6.93,78266.0,346316253.0,19.39,47.89,40.14,40.14,39.97,6.37,7.34,55.72,3.89,7429892044.0,4999027524.0,0.0,-0.04,-20.02,-38.15
9,300735,光弘科技,23.58,16.73,3.38,1785826.0,4060278244.59,14.8,24.23,21.24,21.24,20.2,1.54,23.64,72.39,3.97,18159881770.0,17815283344.0,-0.08,-0.51,116.33,171.66
10,300444,双杰电气,8.75,14.83,1.13,1954753.0,1655252083.26,13.91,8.99,7.93,8.09,7.62,5.8,33.0,58.1,5.69,6987969538.0,5182632814.0,-0.11,0.69,17.29,102.55
11,300302,同有科技,14.61,14.05,1.8,733431.0,1023778321.56,14.83,15.0,13.1,13.19,12.81,4.27,20.0,-78.97,4.79,7037677879.0,5358614687.0,0.07,-0.48,5.49,113.6
12,301091,深城交,20.32,11.22,2.05,223156.0,441071005.1,18.01,21.5,18.21,18.32,18.27,2.84,15.36,244.49,3.05,6339840000.0,2951947360.0,0.1,0.4,6.33,28.36
13,300975,商络电子,8.47,10.72,0.82,617450.0,510214368.37,14.12,8.74,7.66,7.66,7.65,5.02,19.06,110.39,3.1,5337852706.0,2743440886.0,0.36,0.24,19.13,37.95
14,688123,聚辰股份,62.9,10.64,6.05,95084.0,581089079.0,14.56,65.0,56.72,57.2,56.85,3.47,6.01,78.27,5.24,9949084027.0,9949084027.0,0.37,0.13,-2.48,-18.49
15,301270,汉仪股份,44.2,10.5,4.2,166663.0,730912109.21,20.88,47.9,39.55,40.15,40.0,3.65,22.5,84.31,4.13,4420000000.0,3273523825.0,0.02,0.36,-20.82,48.82
16,688153,唯捷创芯,61.8,10.36,5.8,37023.0,224256897.0,7.5,62.0,57.8,57.8,56.0,1.8,4.11,-184.06,6.73,25842611461.0,5562007169.0,0.16,0.06,-10.23,68.25
17,002251,步 步 高,5.12,10.11,0.47,677175.0,343855718.56,9.89,5.12,4.66,4.66,4.65,1.87,7.84,-4.92,1.03,4423188229.0,4423188229.0,0.0,0.0,2.2,-28.79
18,002375,亚厦股份,5.35,10.08,0.49,702707.0,370649368.64,11.32,5.35,4.8,4.81,4.86,0.78,5.28,28.01,0.92,7168981264.0,7120815268.0,0.0,0.0,13.11,21.87
19,000727,冠捷科技,2.95,10.07,0.27,4515207.0,1260525050.31,12.31,2.95,2.62,2.64,2.68,2.36,13.21,151.69,4.51,13362222591.0,10086705348.0,0.0,0.0,39.81,49.75
20,600198,大唐电信,7.76,10.07,0.71,455312.0,335901864.0,11.49,7.76,6.95,7.05,7.05,2.36,5.17,-57.99,21.94,10194381111.0,6832328744.0,0.0,0.0,16.69,31.08
21,000851,高鸿股份,7.11,10.06,0.65,2459278.0,1655693803.67,12.07,7.11,6.33,6.41,6.46,1.33,21.73,1193.49,1.84,8232384742.0,8046689509.0,0.0,0.0,24.74,47.82
22,002512,达华智能,5.69,10.06,0.52,1860781.0,1024111136.13,9.28,5.69,5.21,5.21,5.17,2.22,17.75,317.83,8.53,6526967887.0,5965707004.0,0.0,0.0,44.42,64.45
23,000609,中迪投资,5.8,10.06,0.53,224754.0,127858239.4,9.49,5.8,5.3,5.3,5.27,1.05,7.69,-17.47,3.32,1735740028.0,1694119228.0,0.0,0.0,21.85,-10.77
24,600331,宏达股份,4.49,10.05,0.41,533189.0,234978074.0,9.56,4.49,4.1,4.47,4.08,2.0,2.62,-68.55,26.19,9123680000.0,9123680000.0,0.0,0.0,-3.44,56.45
25,002535,林州重机,5.59,10.04,0.51,851980.0,467706394.64,8.07,5.59,5.18,5.22,5.08,1.9,17.13,35.78,9.64,4481408384.0,2780586811.0,0.0,0.0,30.61,126.32
26,605577,龙版传媒,11.4,10.04,1.04,63998.0,72119614.0,6.66,11.4,10.71,10.8,10.36,2.91,3.4,19.79,1.45,5066666673.0,2147354673.0,0.0,0.0,-2.9,15.97
27,000676,智度股份,7.02,10.03,0.64,1612605.0,1102693144.7,11.13,7.02,6.31,6.38,6.38,3.58,12.65,51.67,2.46,8961078943.0,8949264656.0,0.0,0.0,7.18,32.7
28,600186,莲花健康,7.24,10.03,0.66,665753.0,476364597.0,4.86,7.24,6.92,6.92,6.58,0.49,3.71,129.47,8.94,12987844261.0,12987844261.0,0.0,0.0,154.04,167.16
29,000004,国华网安,17.34,10.03,1.58,155377.0,267417028.0,9.52,17.34,15.84,15.93,15.76,1.47,12.3,-41.1,7.07,2295474090.0,2189835533.0,0.0,0.0,13.48,79.13
30,000158,常山北明,9.66,10.02,0.88,1854716.0,1715447559.84,11.28,9.66,8.67,8.87,8.78,0.67,11.71,-153.75,2.62,15442637525.0,15304004720.0,0.0,0.0,24.65,71.89
31,603178,圣龙股份,14.6,10.02,1.33,29609.0,43229140.0,0.0,14.6,14.6,14.6,13.27,0.22,1.25,63.34,2.68,3451613463.0,3451613463.0,0.0,0.0,24.15,53.36
32,603108,润达医疗,15.81,10.02,1.44,710026.0,1052678582.0,15.73,15.81,13.55,14.51,14.37,1.71,12.25,26.19,2.37,9164135577.0,9164135577.0,0.0,0.0,-4.07,58.73
33,002771,真视通,16.8,10.02,1.53,444991.0,726373958.5,8.58,16.8,15.49,15.56,15.27,3.27,26.05,-57.0,5.08,3524036880.0,2869832784.0,0.0,0.0,0.12,31.35
34,002009,天奇股份,12.96,10.02,1.18,180513.0,227881586.04,11.04,12.96,11.66,11.69,11.78,4.07,4.85,-7.12,2.68,4933119465.0,4822944159.0,0.0,0.0,-5.12,-8.41
35,002947,恒铭达,21.42,10.02,1.95,149622.0,312129117.78,9.45,21.42,19.58,19.58,19.47,8.01,9.31,26.04,2.61,4930279206.0,3443642592.0,0.0,0.0,4.69,10.13
36,605333,沪光股份,21.87,10.01,1.99,96037.0,207314392.0,4.73,21.87,20.93,21.49,19.88,0.82,2.2,-116.43,6.59,9552292891.0,9552292891.0,0.0,0.0,31.83,2.58
37,002796,世嘉科技,12.86,10.01,1.17,304223.0,385829689.48,10.78,12.86,11.6,11.6,11.69,1.32,13.12,-232.65,3.93,3246210551.0,2981408169.0,0.0,0.0,7.71,48.33
38,603836,海程邦达,16.27,10.01,1.48,168902.0,272382125.0,8.72,16.27,14.98,14.98,14.79,2.58,19.7,23.71,1.96,3339177306.0,1394810391.0,0.0,0.0,9.12,5.1
39,603322,超讯通信,35.52,10.0,3.23,233920.0,793756072.0,10.41,35.52,32.16,32.29,32.29,1.53,14.94,-73.34,29.63,5598265997.0,5562674957.0,0.0,0.0,21.44,117.91
40,605128,上海沿浦,58.51,10.0,5.32,70734.0,404776042.0,9.61,58.51,53.4,53.97,53.19,3.9,8.84,73.77,4.3,4680845930.0,4680845930.0,0.0,0.0,41.36,9.24
41,601127,赛力斯,67.42,10.0,6.13,438602.0,2934685388.0,2.81,67.42,65.7,66.7,61.29,0.58,2.91,-37.8,9.92,101626923627.0,101626923627.0,0.0,0.0,52.46,68.59
42,605398,新炬网络,32.45,10.0,2.95,76117.0,237395545.0,10.0,32.45,29.5,29.61,29.5,1.61,20.14,74.99,3.67,3784205068.0,1226192985.0,0.0,0.0,19.7,62.82
43,600561,江西长运,6.38,10.0,0.58,86565.0,53523135.0,10.52,6.38,5.77,5.83,5.8,2.45,3.04,-27.62,1.96,1814961984.0,1814961984.0,0.0,0.0,19.25,7.05
44,002869,金溢科技,19.03,10.0,1.73,93781.0,170870765.78,9.88,19.03,17.32,17.32,17.3,2.81,6.09,208.77,1.65,3416957169.0,2930962388.0,0.0,0.0,-13.38,-11.32
45,605588,冠石科技,76.13,10.0,6.92,110739.0,797371432.0,12.93,76.13,67.18,68.98,69.21,1.14,47.94,95.73,5.39,5603880653.0,1758569579.0,0.0,0.0,66.22,165.35
46,002192,融捷股份,58.87,10.0,5.35,309703.0,1795111328.9,9.47,58.87,53.8,53.89,53.52,2.77,11.95,25.29,4.87,15285901801.0,15254407822.0,0.0,0.0,-11.45,-39.26
47,603206,嘉环科技,20.8,9.99,1.89,236045.0,469524121.0,11.63,20.8,18.6,19.07,18.91,0.9,27.07,39.9,3.03,6348159750.0,1813759750.0,0.0,0.0,22.86,38.02
48,001298,好上好,35.11,9.99,3.19,128689.0,450812184.39,3.67,35.11,33.94,35.11,31.92,1.52,36.98,137.29,3.25,4887312000.0,1221828000.0,0.0,0.0,46.47,43.89
49,002685,华东重机,4.85,9.98,0.44,2210203.0,1018295074.14,14.29,4.85,4.22,4.35,4.41,1.13,27.19,-53.69,2.23,4887299609.0,3942509065.0,0.0,0.0,24.36,30.03
50,603099,长白山,13.67,9.98,1.24,98100.0,131776908.0,5.55,13.67,12.98,13.1,12.43,1.1,3.68,148.79,3.97,3645378900.0,3645378900.0,0.0,0.0,-3.19,25.87
51,002828,贝肯能源,15.22,9.97,1.38,759898.0,1137868631.25,8.67,15.22,14.02,14.02,13.84,1.24,39.37,82.81,5.13,3059031272.0,2937981376.0,0.0,0.0,80.33,73.74
52,301236,软通动力,30.0,9.97,2.72,1084208.0,3181795125.44,14.55,30.93,26.96,27.29,27.28,1.61,15.94,70.55,2.8,28588235310.0,20409461670.0,0.0,0.33,11.15,27.93
53,002599,盛通股份,6.95,9.97,0.63,452329.0,304095443.74,10.44,6.95,6.29,6.35,6.32,1.51,11.25,-59.85,2.62,3736227683.0,2795048946.0,0.0,0.0,-15.35,34.69
54,002514,宝馨科技,10.04,9.97,0.91,79131.0,79447524.0,0.0,10.04,10.04,10.04,9.13,0.37,1.43,689.49,6.3,7229144011.0,5562504011.0,0.0,0.0,-3.83,-4.83
55,002456,欧菲光,7.74,9.94,0.7,594883.0,460439821.26,0.0,7.74,7.74,7.74,7.04,0.9,1.84,-35.65,8.68,25215507373.0,25068222224.0,0.0,0.0,31.41,64.33
56,002217,合力泰,3.88,9.92,0.35,1790914.0,661338100.17,12.18,3.88,3.45,3.5,3.53,1.25,5.75,-2.57,3.9,12091694934.0,12078592682.0,0.0,0.0,11.17,52.16
57,688595,芯海科技,30.97,9.01,2.56,62988.0,191420213.0,10.91,31.51,28.41,28.48,28.41,3.6,4.42,-31.45,4.6,4409554807.0,4409554807.0,0.03,0.06,-9.58,-23.02
58,300941,创识科技,25.09,8.85,2.04,222304.0,542008706.37,9.8,25.56,23.3,23.45,23.05,3.37,26.09,101.2,4.16,5137177500.0,2137799723.0,-0.08,0.2,23.35,32.82
59,300322,硕贝德,11.58,8.53,0.91,1111716.0,1226261111.5,14.53,11.87,10.32,10.67,10.67,2.86,25.06,-20.62,4.89,5393343625.0,5136240817.0,0.17,0.43,33.56,61.06
60,300135,宝利国际,3.59,8.46,0.28,1053545.0,371725447.78,14.8,3.76,3.27,3.27,3.31,2.09,11.43,-595.13,3.32,3308544000.0,3308544000.0,-1.1,-0.83,28.67,30.55
61,002902,铭普光磁,31.75,8.32,2.44,587938.0,1791436816.88,12.42,32.24,28.6,29.3,29.31,1.31,39.33,371.78,6.15,6715760000.0,4746282195.0,0.0,-0.53,10.47,153.19
62,300687,赛意信息,24.46,8.09,1.83,242209.0,584845183.31,9.99,24.9,22.64,22.7,22.63,1.38,7.62,223.87,4.14,9913749758.0,7772307357.0,0.0,-0.04,-4.3,-16.75
63,002922,伊戈尔,16.58,7.94,1.22,571733.0,937658935.89,7.23,16.9,15.79,16.0,15.36,12.67,20.39,35.91,2.19,6480556473.0,4648180368.0,-0.06,-0.12,15.3,10.68
64,300213,佳讯飞鸿,8.57,7.93,0.63,1514439.0,1333920809.07,14.11,9.5,8.38,8.68,7.94,1.81,27.49,97.58,2.29,5088168093.0,4721219616.0,0.71,-0.46,37.12,78.54
65,300083,创世纪,7.35,7.93,0.54,1299273.0,932361465.97,10.57,7.47,6.75,6.77,6.81,2.03,9.6,29.97,2.53,12317604729.0,9943821093.0,-0.14,0.14,7.14,-13.22
66,300074,华平股份,4.98,7.79,0.36,1127736.0,563878347.28,16.88,5.44,4.66,4.67,4.62,2.1,21.26,-131.5,2.57,2644484082.0,2641753986.0,0.2,0.0,20.0,32.8
67,300475,香农芯创,32.68,7.75,2.35,310929.0,1017975398.14,5.87,33.78,32.0,33.0,30.33,1.92,7.06,42.35,5.95,14953249266.0,14387068266.0,-0.09,-0.18,2.06,99.39
68,603353,和顺石油,20.39,7.54,1.43,35989.0,72716742.0,10.34,20.7,18.74,18.87,18.96,4.05,2.08,63.11,2.18,3535503660.0,3535503660.0,0.25,0.44,3.03,10.94
69,603211,晋拓股份,15.85,7.46,1.1,143655.0,220009180.0,8.95,15.88,14.56,14.82,14.75,4.5,21.14,85.52,3.83,4308156800.0,1077039200.0,-0.06,0.63,-12.09,26.9
70,002629,仁智股份,4.57,7.28,0.31,1182306.0,538687943.85,13.15,4.69,4.13,4.2,4.26,6.03,33.12,-38.82,73.41,1995481360.0,1631263479.0,0.22,1.33,21.87,12.56
71,300085,银之杰,13.42,7.27,0.91,553175.0,727575435.0,8.39,13.65,12.6,12.6,12.51,2.41,10.79,-173.45,12.48,9483115980.0,6878336548.0,0.0,-0.3,19.82,44.3
72,688609,九联科技,10.74,7.08,0.71,530527.0,558091907.0,10.57,10.96,9.9,10.02,10.03,1.13,16.14,-94.55,4.63,5370000000.0,3531116747.0,0.09,0.0,4.78,63.97
73,300448,浩云科技,6.26,7.01,0.41,571865.0,360191920.11,8.55,6.55,6.05,6.17,5.85,6.18,11.67,399.38,2.97,4234996915.0,3067011580.0,-0.16,0.0,8.12,34.05
74,603095,越剑智能,16.0,6.95,1.04,56272.0,87485009.0,8.29,16.0,14.76,14.96,14.96,1.25,3.05,30.48,1.19,2956800000.0,2956800000.0,0.38,0.63,5.26,5.47
75,300559,佳发教育,16.55,6.91,1.07,233013.0,386992497.67,11.56,17.3,15.51,15.55,15.48,2.4,7.49,37.47,5.83,6611966084.0,5149314586.0,1.16,1.1,4.81,67.85
76,300965,恒宇信通,61.75,6.83,3.95,47067.0,275142452.77,27.11,67.72,52.05,52.05,57.8,1.45,28.65,-854.23,2.69,3705000000.0,1014475313.0,-0.08,-0.18,23.75,42.97
77,600699,均胜电子,19.48,6.8,1.24,759403.0,1448405671.0,10.53,20.02,18.1,18.23,18.24,3.59,5.55,28.85,2.06,27441506058.0,26650288476.0,-0.1,0.0,4.23,39.64
78,603809,豪能股份,10.95,6.73,0.69,142632.0,155479219.0,7.6,11.18,10.4,10.4,10.26,5.24,3.63,24.13,2.1,4303530620.0,4303530620.0,0.09,0.0,-0.64,4.68
79,300654,世纪天鸿,10.86,6.58,0.67,286903.0,310543273.41,9.03,11.24,10.32,10.49,10.19,2.32,8.88,262.53,5.04,3951554417.0,3508281862.0,-0.09,-0.18,-14.01,83.76
80,002279,久其软件,7.14,6.57,0.44,1079113.0,763825921.8,9.4,7.37,6.74,6.74,6.7,3.35,13.57,-45.23,3.65,6181587975.0,5676261937.0,0.0,0.0,14.42,1.13
81,600838,上海九百,7.63,6.56,0.47,373648.0,284288175.0,9.92,7.83,7.12,7.14,7.16,1.99,9.32,43.78,2.1,3058729515.0,3058729515.0,0.13,-0.13,14.91,-1.68
82,603110,东方材料,30.45,6.47,1.85,116365.0,352826137.0,9.9,31.45,28.62,28.62,28.6,2.22,5.78,376.57,9.5,6127353989.0,6127353989.0,0.13,-0.03,12.32,-9.83
83,002782,可立克,12.88,6.45,0.78,440283.0,562796449.09,10.83,13.31,12.0,12.19,12.1,6.89,9.02,48.38,3.56,6348273959.0,6284178571.0,0.16,-0.39,-13.56,-24.85
84,688258,卓易信息,62.13,6.41,3.74,26141.0,160107878.0,8.96,62.93,57.7,57.74,58.39,1.19,3.01,53.26,5.29,5402612999.0,5402612999.0,0.02,-0.19,0.34,52.2
85,301159,三维天地,53.98,6.28,3.19,78921.0,418891130.02,8.03,55.0,50.92,50.94,50.79,1.82,24.12,-36.14,5.32,4175353000.0,1765912516.0,0.04,-0.06,41.31,106.98
86,300474,景嘉微,80.76,6.14,4.67,192195.0,1512742510.5,8.62,81.95,75.39,76.5,76.09,1.3,5.84,-2410.62,11.27,36938428025.0,26559791718.0,-0.04,-0.05,-4.27,48.32
87,300378,鼎捷软件,25.41,6.1,1.46,270609.0,677191327.38,6.35,25.67,24.15,24.17,23.95,0.9,10.12,94.71,3.53,6842619006.0,6797262156.0,-0.08,0.04,-17.93,66.84
88,300042,朗科科技,29.8,6.05,1.7,169943.0,508851103.59,9.5,31.2,28.53,28.53,28.1,2.12,9.36,-148.32,5.17,5971920000.0,5411889554.0,-0.07,0.0,-16.2,146.48
89,300044,赛为智能,5.14,5.98,0.29,1098532.0,552687967.1,9.28,5.19,4.74,4.8,4.85,1.42,16.04,81.76,4.75,3926287832.0,3519949686.0,0.0,-0.19,3.42,81.63
90,002232,启明信息,16.17,5.96,0.91,372117.0,604202888.82,11.07,16.79,15.1,15.23,15.26,6.63,9.11,74.15,4.7,6606228517.0,6606228517.0,0.06,-0.43,-8.59,29.15
91,002965,祥鑫科技,44.52,5.8,2.44,145373.0,637816042.23,9.22,45.58,41.7,41.7,42.08,1.79,12.58,23.61,2.8,7935691692.0,5144087352.0,-0.02,-0.09,-26.49,-22.94
92,600083,博信股份,7.3,5.8,0.4,92978.0,67147287.0,8.7,7.47,6.87,6.88,6.9,3.47,4.08,-72.64,23.04,1679000000.0,1664351280.0,0.27,0.69,0.55,0.55
93,300598,诚迈科技,50.66,5.76,2.76,153312.0,771823166.19,10.5,52.5,47.47,47.98,47.9,1.54,9.58,-38.53,6.72,8317546698.0,8109771040.0,-0.02,-0.06,0.48,8.34
94,300552,万集科技,22.81,5.75,1.24,187427.0,418512913.32,11.5,23.58,21.1,21.21,21.57,1.57,14.89,-19.05,1.89,4861566285.0,2871373712.0,-0.09,0.22,-4.96,27.22
95,301128,强瑞技术,49.71,5.72,2.69,126197.0,625458100.95,12.1,52.58,46.89,51.8,47.02,2.31,46.3,122.89,4.59,3672903980.0,1354932993.0,-0.08,0.02,41.1,102.16
96,300128,锦富技术,4.62,5.72,0.25,597472.0,274745313.88,8.47,4.72,4.35,4.38,4.37,2.74,5.47,-52.94,8.45,5054813203.0,5049581746.0,0.0,0.0,-14.76,32.76
97,300045,华力创通,29.6,5.71,1.6,2070367.0,5898874602.01,13.93,30.8,26.9,28.0,28.0,1.23,42.01,-800.31,11.49,19615186986.0,14587498670.0,0.37,1.02,154.95,353.29
98,603173,福斯达,29.1,5.7,1.57,101508.0,301008732.0,9.99,30.28,27.53,27.7,27.53,9.31,25.38,24.49,3.43,4656000000.0,1164000000.0,0.14,0.76,-3.77,57.21
99,300114,中航电测,45.2,5.56,2.38,173859.0,771959523.44,7.43,45.9,42.72,43.0,42.82,2.88,2.94,132.5,11.2,26702374555.0,26702374555.0,0.02,0.09,-4.36,341.84
100,301183,东田微,48.61,5.54,2.55,76973.0,374259167.93,8.68,50.0,46.0,46.5,46.06,1.76,16.7,-241.31,4.72,3888800000.0,2240337680.0,0.02,0.02,-32.21,119.86
101,002802,洪汇新材,13.29,5.48,0.69,115339.0,152045036.16,8.89,13.58,12.46,12.65,12.6,4.21,6.37,46.02,3.78,2422793447.0,2406329556.0,0.45,0.45,19.19,24.67
102,688601,力芯微,51.09,5.47,2.65,60428.0,304520999.0,9.21,52.0,47.54,48.12,48.44,2.71,8.5,49.9,5.98,6830360043.0,3633147843.0,0.33,0.41,9.94,36.2
103,688008,澜起科技,53.37,5.45,2.76,179765.0,949477530.0,7.31,54.2,50.5,50.99,50.61,2.98,1.58,370.99,6.21,60735500089.0,60735500089.0,-0.02,0.04,-12.08,-14.33
104,688070,纵横股份,37.59,5.44,1.94,4551.0,17075152.0,8.47,38.5,35.48,35.65,35.65,2.65,1.19,-288.66,4.96,3292132200.0,1442704200.0,0.27,0.24,-17.07,-11.07
105,300679,电连技术,39.2,5.43,2.02,187193.0,732708372.42,7.13,39.87,37.22,37.22,37.18,3.59,5.26,66.2,3.92,16568742400.0,13955026266.0,-0.03,0.03,8.02,6.49
106,600745,闻泰科技,45.95,5.37,2.34,274822.0,1249005835.0,5.94,46.34,43.75,43.75,43.61,2.84,2.21,22.7,1.59,57107057192.0,57107057192.0,0.04,-0.07,-6.38,-12.61
107,002929,润建股份,39.48,5.34,2.0,231848.0,900091120.78,6.19,39.83,37.51,37.94,37.48,2.74,11.38,19.07,2.45,10869271608.0,8042318723.0,0.0,-0.08,-4.68,1.2
108,688007,光峰科技,27.64,5.34,1.4,214816.0,583794538.0,9.41,28.07,25.6,26.19,26.24,2.0,4.67,84.93,4.67,12725636710.0,12725636710.0,-0.04,0.0,29.04,11.41
109,301308,江波龙,98.8,5.32,4.99,93696.0,909489104.92,10.04,102.0,92.58,94.0,93.81,2.31,8.3,-34.22,6.64,40790988295.0,11150988295.0,0.38,0.45,0.94,67.51
110,603863,松炀资源,28.54,5.31,1.44,149407.0,417359494.0,11.03,28.99,26.0,27.79,27.1,1.56,7.3,-38.65,7.11,5840711000.0,5840711000.0,0.07,0.21,39.22,122.1
111,300228,富瑞特装,6.77,5.29,0.34,383242.0,258548845.78,6.69,6.86,6.43,6.43,6.43,1.93,7.06,110.12,2.23,3895500983.0,3675420807.0,-0.15,0.0,7.29,32.49
112,300175,朗源股份,4.58,5.29,0.23,288849.0,134858635.0,14.94,4.97,4.32,4.32,4.35,4.67,6.14,-51.83,4.05,2156264000.0,2156264000.0,0.0,0.22,17.44,15.08
113,300225,金力泰,9.68,5.22,0.48,232979.0,222227657.25,7.5,9.88,9.19,9.19,9.2,2.39,4.9,-2551.85,6.15,4735507304.0,4598552631.0,0.0,0.0,29.93,86.15
114,688668,鼎通科技,51.48,5.21,2.55,44772.0,229557454.0,7.62,52.8,49.07,49.07,48.93,1.72,9.62,56.51,2.98,5088237074.0,2396831323.0,0.16,0.21,-48.0,-21.16
115,300250,初灵信息,18.17,5.21,0.9,316329.0,567400775.51,8.11,18.48,17.08,17.2,17.27,2.05,19.34,148.93,6.48,3997216519.0,2971502631.0,0.06,0.44,18.53,69.65
116,300352,北信源,5.07,5.19,0.25,693461.0,349310240.55,6.64,5.14,4.82,4.84,4.82,4.44,5.68,1023.07,4.73,7350608121.0,6186273480.0,0.0,0.0,5.63,24.26
117,688667,菱电电控,85.18,5.17,4.19,9331.0,77831103.0,6.11,85.5,80.55,81.76,80.99,2.39,3.99,72.13,2.83,4413358085.0,1992802455.0,-0.37,0.45,2.87,-1.95
118,000045,深纺织Ａ,11.22,5.15,0.55,167608.0,185546951.79,7.22,11.41,10.64,10.64,10.67,2.18,3.67,78.27,1.99,5683175146.0,5127785146.0,-0.18,0.0,0.09,1.72
119,002077,大港股份,15.82,5.12,0.77,467435.0,730719604.35,7.57,16.14,15.0,15.05,15.05,2.85,8.05,46.93,2.8,9181113476.0,9181113476.0,0.0,0.06,6.68,-14.81
120,002178,延华智能,4.54,5.09,0.22,844757.0,375875878.67,8.8,4.64,4.26,4.28,4.32,2.06,11.87,364.36,7.48,3233174625.0,3231211424.0,0.22,0.44,22.7,5.83
121,300541,先进数通,16.62,5.06,0.8,421635.0,690987020.04,5.63,16.8,15.91,15.99,15.82,2.37,16.41,36.97,3.55,5497953439.0,4269981996.0,0.12,0.24,29.64,47.73
122,300098,高新兴,3.95,5.05,0.19,1267196.0,493650267.09,8.24,4.03,3.72,3.74,3.76,2.67,8.23,-71.46,2.23,6864239986.0,6084787557.0,0.0,-0.25,1.8,28.66
123,688525,佰维存储,67.53,5.04,3.24,61922.0,412487378.0,6.56,68.33,64.11,64.29,64.29,1.88,15.99,-49.01,13.68,29060126554.0,2615408402.0,0.01,-0.1,-14.7,320.49
124,002762,金发拉比,8.59,5.01,0.41,164717.0,140136359.28,5.38,8.66,8.22,8.22,8.18,2.82,7.93,200.79,3.51,3041074750.0,1784304518.0,0.0,0.0,-16.11,-7.83
125,300663,科蓝软件,14.47,5.01,0.69,267027.0,382392394.11,5.88,14.58,13.77,13.78,13.78,3.89,6.62,-641.44,5.93,6687781990.0,5837501002.0,0.0,0.07,6.32,10.71
126,300620,光库科技,51.05,5.0,2.43,219611.0,1105820550.83,7.49,51.85,48.21,48.97,48.62,1.28,9.07,197.37,7.5,12523106487.0,12367475457.0,0.0,-0.16,-23.77,103.63
127,003032,传智教育,13.31,4.97,0.63,359320.0,483389122.53,10.25,13.95,12.65,12.68,12.68,3.8,21.04,34.74,3.76,5356576225.0,2273074346.0,0.0,-0.15,-7.7,-22.89
128,002569,ST步森,6.57,4.95,0.31,44486.0,29209673.5,1.92,6.57,6.45,6.57,6.26,5.2,3.18,-25.96,6.71,946145700.0,919020962.0,0.0,0.0,19.24,1.7
129,603505,金石资源,34.17,4.94,1.61,137106.0,462731588.0,9.83,35.0,31.8,32.0,32.56,2.07,2.26,82.06,14.7,20752740041.0,20684776970.0,-0.09,0.03,35.01,21.21
130,300096,易联众,6.38,4.93,0.3,248042.0,157410571.54,5.92,6.44,6.08,6.08,6.08,2.8,6.59,-19.58,11.1,2743400000.0,2402169713.0,0.0,-0.16,7.23,6.33
131,300972,万辰集团,37.46,4.93,1.76,23858.0,87906162.42,6.58,37.86,35.51,35.68,35.7,1.03,3.19,-515.87,8.19,5750110000.0,2802607360.0,-0.03,0.03,-13.39,211.13
132,301280,珠城科技,36.95,4.91,1.73,28100.0,103141661.5,10.9,38.45,34.61,37.36,35.22,4.02,11.97,24.14,2.17,3610018695.0,867356688.0,-0.08,-0.05,2.55,18.54
133,300333,兆日科技,7.27,4.91,0.34,179290.0,129479655.0,5.05,7.32,6.97,6.99,6.93,2.75,5.36,-34.25,3.66,2442720000.0,2430906737.0,0.0,0.28,12.89,24.91
134,688047,龙芯中科,90.71,4.88,4.22,57991.0,526182820.0,7.26,93.98,87.7,87.94,86.49,4.12,2.08,-175.24,9.56,36374710000.0,25255000068.0,-0.06,-0.04,-20.42,6.16
135,600839,四川长虹,4.74,4.87,0.22,3954189.0,1847275032.0,8.41,4.85,4.47,4.52,4.52,1.5,8.57,54.11,1.63,21880997612.0,21874903911.0,0.0,0.21,4.18,82.31
136,002005,ST德豪,1.52,4.83,0.07,243748.0,37047472.52,0.69,1.52,1.51,1.52,1.45,3.69,1.39,-9.99,2.64,2663685784.0,2663685784.0,0.0,0.0,2.01,2.7
