日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,17.2,17.85,18.85,16.64,873242,1494612864.0,12.46,0.62,0.11,9.18
2021-01-05,18.56,17.21,19.26,17.16,763977,1325746784.0,11.76,-3.59,-0.64,8.03
2021-01-06,16.49,16.34,17.46,16.22,512628,815075248.0,7.21,-5.06,-0.87,5.39
2021-01-07,16.23,16.61,17.14,15.72,430656,681480256.0,8.69,1.65,0.27,4.53
2021-01-08,17.17,16.3,17.25,16.16,331876,528530480.0,6.56,-1.87,-0.31,3.49
2021-01-11,16.21,15.94,16.78,15.84,292718,455211456.0,5.77,-2.21,-0.36,3.08
2021-01-12,15.94,15.44,15.94,14.76,299304,438739408.0,7.4,-3.14,-0.5,3.15
2021-01-13,15.36,15.06,15.93,14.83,285324,418229088.0,7.12,-2.46,-0.38,3.0
2021-01-14,14.66,14.05,14.89,13.99,288399,392598240.0,5.98,-6.71,-1.01,3.03
2021-01-15,13.81,14.06,14.27,13.59,216455,286975376.0,4.84,0.07,0.01,2.28
2021-01-18,13.98,13.92,14.23,13.67,200719,267708950.0,3.98,-1.0,-0.14,2.11
2021-01-19,14.15,14.14,14.59,13.8,247134,334347216.0,5.68,1.58,0.22,2.6
2021-01-20,14.11,14.42,14.98,14.01,253698,351736688.0,6.86,1.98,0.28,2.67
2021-01-21,14.21,14.59,14.8,13.62,298860,409604192.0,8.18,1.18,0.17,3.14
2021-01-22,14.38,15.98,15.98,14.27,519501,774026560.0,11.72,9.53,1.39,5.46
2021-01-25,15.66,16.03,16.96,15.16,607692,936803408.0,11.26,0.31,0.05,6.39
2021-01-26,17.56,17.57,17.57,16.24,674835,1112634112.0,8.3,9.61,1.54,7.1
2021-01-27,19.05,19.26,19.26,18.67,248271,456997232.0,3.36,9.62,1.69,2.61
2021-01-28,19.26,21.12,21.12,18.72,901194,1774686912.0,12.46,9.66,1.86,9.48
2021-01-29,20.36,19.07,20.84,19.07,347012,663847584.0,8.38,-9.71,-2.05,3.65
2021-02-01,17.23,17.23,18.13,17.23,483166,806095152.0,4.72,-9.65,-1.84,5.08
2021-02-02,16.93,15.96,17.04,15.89,628373,984939952.0,6.67,-7.37,-1.27,6.61
2021-02-03,15.91,15.68,16.41,15.32,515332,786305312.0,6.83,-1.75,-0.28,5.42
2021-02-04,15.36,14.78,15.52,14.51,434999,623321648.0,6.44,-5.74,-0.9,4.57
2021-02-05,14.88,13.98,14.98,13.96,299279,412690992.0,6.9,-5.41,-0.8,3.15
2021-02-08,14.05,14.01,14.32,13.85,298201,399241424.0,3.36,0.21,0.03,3.14
